mode,workers,threads,input_size,epoch,wall_sec
sequential,1,1,10000,1,221.566929
async_sgd,2,1,10000,1,58.626000
async_sgd,4,1,10000,1,38.525000
async_sgd,8,1,10000,1,33.876000
sequential,1,1,30000,1,696.669714
async_sgd,2,1,30000,1,89.716000
async_sgd,4,1,30000,1,62.973000
async_sgd,8,1,30000,1,61.157000
sequential,1,1,50000,1,730.982223
async_sgd,2,1,50000,1,156.368000
async_sgd,4,1,50000,1,114.910000
async_sgd,8,1,50000,1,100.059000
async_sgd_thread_scaling,3,1,10000,1,38.743000
async_sgd_thread_scaling,3,1,10000,2,41.291000
async_sgd_thread_scaling,3,2,10000,1,30.466000
async_sgd_thread_scaling,3,2,10000,2,29.435000
async_sgd_thread_scaling,3,4,10000,1,30.888000
async_sgd_thread_scaling,3,4,10000,2,31.783000
async_sgd_thread_scaling,3,8,10000,1,30.420000
async_sgd_thread_scaling,3,8,10000,2,30.243000
