experiment,workers,input_size,epoch,wall_sec,speedup,efficiency,amdahl_parallel_fraction,karp_flatt_serial_fraction,gustafson_speedup
weak,1,3000,1,45.617758,1.064909,1.064909,NaN,NaN,1.000000
weak,1,3000,2,45.452957,1.068770,1.068770,NaN,NaN,1.000000
weak,1,3000,3,54.665552,0.888654,0.888654,NaN,NaN,1.000000
weak,2,6000,1,31.649000,1.534922,0.767461,0.697002,0.302998,1.697002
weak,2,6000,2,30.169000,1.610221,0.805110,0.757934,0.242066,1.757934
weak,2,6000,3,30.373000,1.599406,0.799703,0.749536,0.250464,1.749536
weak,4,12000,1,27.261000,1.781987,0.445497,0.585105,0.414895,2.755315
weak,4,12000,2,27.365000,1.775215,0.443804,0.582251,0.417749,2.746752
weak,4,12000,3,27.633000,1.757998,0.439499,0.574895,0.425105,2.724684
weak,8,24000,1,49.133000,0.988720,0.123590,-0.013039,1.013039,0.908726
weak,8,24000,2,49.260000,0.986170,0.123271,-0.016027,1.016027,0.887812
weak,8,24000,3,48.963000,0.992152,0.124019,-0.009040,1.009040,0.936722
